run_number,start_time,end_time,duration_s,speed_Mbps,packet_loss_pct,latency_ms,status
1,12:37:03:736,12:43:55:733,411.996,2.0361,0,0,SUCCESS
2,13:43:55:740,13:44:08:634,12.894,65.0595,0,0,SUCCESS
3,14:44:08:637,14:44:26:012,17.375,48.2798,0,0,SUCCESS
4,15:44:26:020,15:44:39:241,13.221,63.4492,0,0,SUCCESS
5,16:44:39:247,16:44:53:291,14.044,59.7317,0,0,SUCCESS
6,17:44:53:294,17:45:07:993,14.698,57.0722,0,0,SUCCESS
7,18:45:07:999,18:45:20:216,12.216,68.6677,0,0,SUCCESS
8,19:45:20:222,19:45:32:713,12.491,67.1575,0,0,SUCCESS
9,20:45:32:717,20:45:51:063,18.346,45.7241,0,0,SUCCESS
10,21:45:51:070,21:46:04:788,13.718,61.1502,0,0,SUCCESS
11,22:46:04:791,22:46:16:949,12.158,68.9979,0,0,SUCCESS
12,23:46:16:956,23:46:29:039,12.083,69.4272,0,0,SUCCESS
13,00:46:29:042,00:46:43:318,14.276,58.7611,0,0,SUCCESS
14,01:46:43:325,01:46:56:560,13.234,63.3847,0,0,SUCCESS
15,02:46:56:562,02:47:10:529,13.966,60.0654,0,0,SUCCESS
16,03:47:10:535,03:47:24:053,13.517,62.0601,0,0,SUCCESS
17,04:47:24:056,04:47:39:032,14.976,56.0153,0,0,SUCCESS
18,05:47:39:038,05:47:51:499,12.461,67.3197,0,0,SUCCESS
19,06:47:51:502,06:48:04:504,13.001,64.5215,0,0,SUCCESS
20,07:48:04:511,07:48:30:031,25.519,32.8714,0,0,SUCCESS
21,08:48:30:038,08:48:42:602,12.564,66.7662,0,0,SUCCESS
22,09:48:42:605,09:48:55:622,13.016,64.4479,0,0,SUCCESS
23,10:48:55:628,10:49:07:958,12.329,68.0384,0,0,SUCCESS
24,11:49:07:965,11:49:26:784,18.82,44.5737,0,0,SUCCESS
